Dia;Mês;Ano;Cepagri;IAC;Viracopos
11;9;1990;32.4;31.8;31.22
12;9;1990;33.2;33;32
13;9;1990;19.6;19.8;23
14;9;1990;14.6;14.2;18.39
15;9;1990;18.2;18.4;18
16;9;1990;24.5;24;23
17;9;1990;28.1;27;27
18;9;1990;30.7;29.6;29
19;9;1990;33.2;32.2;32
20;9;1990;33.5;32.4;32.5
21;9;1990;31.9;30.8;32.5
22;9;1990;31.4;30.6;30
23;9;1990;25.4;24.2;29.5
24;9;1990;19.2;18.8;24.61
25;9;1990;20.5;19.6;18
26;9;1990;25.6;24.8;24.5
27;9;1990;27.6;26.4;26
28;9;1990;28.2;28;28
29;9;1990;22.6;22.4;28
30;9;1990;20.8;20.4;21.72
1;10;1990;19.2;19.6;19.5
2;10;1990;25.6;25.4;26
3;10;1990;29.8;29.4;29
4;10;1990;31.8;31.2;31
5;10;1990;31.2;30.8;31
6;10;1990;31.0;31;30.61
7;10;1990;31.4;31;31
8;10;1990;30.6;30.8;31
9;10;1990;33.9;32.6;34
10;10;1990;35.3;35.2;35
11;10;1990;36.2;35.6;35
12;10;1990;34.6;34.2;35
13;10;1990;29.6;29.2;34.39
14;10;1990;33.2;33;33
15;10;1990;24.2;26.8;32.61
16;10;1990;19.5;19.2;25
17;10;1990;22.4;22.4;22
18;10;1990;27.4;26.6;25.11
19;10;1990;26.3;25.4;25.22
20;10;1990;28.6;28.4;28
21;10;1990;26.2;25.4;27.61
22;10;1990;25.8;25.2;25
23;10;1990;29.6;29.2;29
24;10;1990;28.1;27;29
25;10;1990;27.6;27;26.39
26;10;1990;30.2;29.4;28
27;10;1990;29.6;29.2;28.61
28;10;1990;32.0;31.4;31
29;10;1990;33.6;32.6;32
30;10;1990;33.5;33;33
31;10;1990;32.3;31.4;32
1;11;1990;31.6;33.4;32
2;11;1990;31.9;30.4;32
3;11;1990;32.0;32.2;32
4;11;1990;32.2;32.4;32
5;11;1990;24.2;23.6;23
6;11;1990;23.4;22.6;23
7;11;1990;29.2;28.4;28
8;11;1990;29.7;28.6;28
9;11;1990;31.8;31.2;31
10;11;1990;31.6;30.8;31
11;11;1990;32.4;31.6;31
12;11;1990;34.0;33.6;33
13;11;1990;35.2;34.4;34.61
14;11;1990;35.4;34.8;35
15;11;1990;35.6;35;35
16;11;1990;34.4;34;35
17;11;1990;32.2;32;33
18;11;1990;32.1;31.2;32.5
19;11;1990;33.3;32.4;32
20;11;1990;34.4;33.4;33.61
21;11;1990;32.6;32;33.61
22;11;1990;31.8;32.6;33
23;11;1990;32.6;31.4;32.5
24;11;1990;26.0;27.4;30.61
25;11;1990;29.8;30.2;30
26;11;1990;32.0;31;30.11
27;11;1990;29.2;28.8;30.11
28;11;1990;29.7;29.2;29
29;11;1990;30.6;29.8;30
30;11;1990;32.5;31.8;31
1;12;1990;34.0;34;33
2;12;1990;34.6;34.4;34
3;12;1990;33.8;33;33.61
4;12;1990;32.6;32.4;32.28
5;12;1990;32.9;32.2;31
6;12;1990;33.2;33.4;32
7;12;1990;28.7;28.4;31.5
8;12;1990;27.4;26.4;27.61
9;12;1990;27.6;26.6;27
10;12;1990;30.4;29.4;28.5
11;12;1990;29.8;29.4;28.5
12;12;1990;30.6;29.8;30.22
